step 2700 | loss 2.1321 | step time 11.35ms
step 2710 | loss 2.1711 | step time 11.37ms
step 2720 | loss 2.1569 | step time 11.16ms
step 2730 | loss 2.0297 | step time 11.20ms
step 2740 | loss 2.3103 | step time 11.27ms
step 2750 | loss 2.1954 | step time 11.31ms
step 2760 | loss 2.2081 | step time 11.18ms
step 2770 | loss 2.1923 | step time 11.02ms
step 2780 | loss 2.1257 | step time 11.15ms
step 2790 | loss 2.2155 | step time 11.21ms
step 2800 | loss 2.1652 | step time 11.10ms
step 2810 | loss 2.1007 | step time 11.40ms
step 2820 | loss 2.2068 | step time 12.14ms
step 2830 | loss 2.1395 | step time 11.07ms
step 2840 | loss 2.2129 | step time 11.63ms
step 2850 | loss 2.2958 | step time 11.15ms
step 2860 | loss 2.2482 | step time 11.19ms
step 2870 | loss 2.0903 | step time 11.33ms
step 2880 | loss 2.2458 | step time 11.29ms
step 2890 | loss 2.1985 | step time 11.30ms
step 2900 | loss 2.1022 | step time 11.26ms
step 2910 | loss 2.1916 | step time 11.39ms
step 2920 | loss 2.1473 | step time 10.84ms
step 2930 | loss 2.1825 | step time 11.55ms
step 2940 | loss 2.1627 | step time 11.49ms
step 2950 | loss 2.2200 | step time 11.40ms
step 2960 | loss 2.1108 | step time 11.22ms
step 2970 | loss 2.1805 | step time 11.45ms
step 2980 | loss 2.2071 | step time 11.28ms
step 2990 | loss 2.1026 | step time 11.51ms
step 3000 | loss 2.2117 | step time 11.08ms
step 3000 train loss: 2.1466989517211914 test loss: 2.140657901763916
test loss 2.140657901763916 is the best so far, saving model to Transformer/model.pt
step 3010 | loss 2.0916 | step time 11.23ms
step 3020 | loss 2.2209 | step time 11.32ms
step 3030 | loss 2.1284 | step time 11.18ms
step 3040 | loss 2.1103 | step time 11.44ms
step 3050 | loss 2.2843 | step time 11.43ms
step 3060 | loss 2.1091 | step time 11.03ms
step 3070 | loss 2.0971 | step time 11.29ms
step 3080 | loss 2.1252 | step time 11.25ms
step 3090 | loss 2.3037 | step time 11.32ms
step 3100 | loss 2.0990 | step time 11.28ms
step 3110 | loss 2.1208 | step time 11.50ms
step 3120 | loss 2.0972 | step time 11.98ms
step 3130 | loss 2.0805 | step time 11.42ms
step 3140 | loss 2.0726 | step time 11.38ms
step 3150 | loss 2.0566 | step time 11.40ms
step 3160 | loss 2.0773 | step time 11.32ms
step 3170 | loss 2.2854 | step time 12.94ms
step 3180 | loss 2.0914 | step time 12.42ms
step 3190 | loss 2.2113 | step time 12.19ms
step 3200 | loss 2.1526 | step time 12.55ms
step 3210 | loss 2.1120 | step time 12.00ms
step 3220 | loss 2.0312 | step time 12.01ms
step 3230 | loss 2.1189 | step time 12.13ms
step 3240 | loss 2.2205 | step time 11.83ms
